ID RH,Nome Completo,Estado Civil,Gênero,Data de Nascimento,Data de Contratação,Data de Demissão,Cargo,Salário,Área,Horas Extras,Avaliação
3643,Ana Júlia Rodrigues,Casado(a),não informado,24-12-1990,07-02-2019,,gerente,8006.88,comercial,9,10
7192,Rebeca Porto,Solteiro(a),masculino,05-08-1997,01-10-2018,,analista,6196.06,administrativo,62,4
6356,Sra. Natália da Mota,Solteiro(a),masculino,10-09-1996,06-09-2020,,estagiário,7449.12,operações,92,3
6398,Isadora Novaes,Casado(a),feminino,08-09-2001,17-05-2023,,gerente,2316.29,comercial,5,5
1967,Sra. Olivia Souza,Solteiro(a),masculino,17-04-1976,05-03-2020,,analista,6715.88,logística,62,3
2003,Maria Almeida,Divorciado(a),masculino,26-05-1963,23-08-2021,,analista,9429.33,comercial,16,8
8865,Benício Peixoto,Casado(a),feminino,13-10-1985,20-12-2020,,coordenador,7537.2,administrativo,80,1
6513,Lorenzo Rodrigues,Viúvo(a),não informado,20-11-1988,24-01-2019,,analista,3828.8,administrativo,53,10
5896,Daniel Duarte,Viúvo(a),feminino,09-04-1990,27-11-2022,,coordenador,8142.44,logística,70,10
4079,Nicole Vieira,Solteiro(a),masculino,02-05-1970,02-09-2018,,gerente,3108.74,comercial,87,6
3187,Sr. Luiz Henrique Gonçalves,Solteiro(a),não informado,02-03-1963,02-02-2019,,estagiário,8619.36,financeiro,90,7
9373,Srta. Stella Santos,Casado(a),feminino,16-04-1976,04-12-2021,26-06-2022,coordenador,4153.79,operações,21,5
6611,Ana Sophia Santos,Casado(a),masculino,14-10-2003,12-11-2020,,estagiário,9909.25,administrativo,37,10
9028,Henrique Moraes,Viúvo(a),masculino,08-11-1997,31-07-2021,,estagiário,8195.49,financeiro,30,2
2700,Maria Alice Nunes,Divorciado(a),feminino,19-09-2002,31-01-2022,,analista,4636.86,operações,84,8
9564,Emilly Porto,Solteiro(a),feminino,10-02-1999,03-09-2018,20-04-2023,gerente,9760.36,operações,38,2
3934,Catarina Moreira,Casado(a),feminino,01-11-1981,10-04-2022,,gerente,5079.32,financeiro,84,2
9093,Felipe da Paz,Divorciado(a),feminino,21-03-1980,10-04-2020,,coordenador,9266.86,financeiro,30,10
2023,Dra. Júlia Duarte,Viúvo(a),não informado,13-02-1982,09-10-2019,,estagiário,9802.51,financeiro,47,3
7148,Erick Pires,Casado(a),não informado,12-01-1993,19-08-2018,,coordenador,4473.26,financeiro,94,2
6727,Emilly Lima,Viúvo(a),feminino,12-04-1971,17-11-2021,,coordenador,5959.45,logística,73,10
9000,Nicolas da Rosa,Viúvo(a),não informado,16-03-1987,26-10-2022,,estagiário,8875.98,logística,63,3
9784,Rafaela Moreira,Divorciado(a),masculino,03-06-1981,20-05-2020,,gerente,8231.97,operações,16,1
2055,Ana Júlia Duarte,Viúvo(a),feminino,21-11-1998,27-01-2021,,gerente,9741.49,comercial,75,7
8750,Sra. Júlia Moreira,Solteiro(a),feminino,11-06-1964,18-01-2021,,coordenador,5633.38,comercial,25,7
7578,Pietra Azevedo,Solteiro(a),feminino,25-05-1964,24-10-2021,,coordenador,2928.78,operações,93,4
9115,Leandro da Mata,Viúvo(a),feminino,27-04-1984,08-09-2021,,coordenador,5782.3,comercial,48,6
1318,Eduarda Almeida,Casado(a),feminino,21-06-1992,05-04-2019,,estagiário,3601.04,comercial,74,1
2608,Thales Gonçalves,Viúvo(a),não informado,11-04-1964,24-03-2021,,estagiário,7304.57,administrativo,71,6
3229,Alexandre Peixoto,Viúvo(a),feminino,08-09-2002,22-04-2021,,gerente,9444.93,comercial,97,4
4435,Daniel Castro,Divorciado(a),não informado,01-05-1980,12-08-2021,23-07-2022,coordenador,7427.24,financeiro,47,7
1000,Bruno Barros,Casado(a),masculino,26-04-1964,09-04-2023,,analista,2279.07,operações,94,6
