Data,Produto,Categoria,Preço Unitário,Custo Unitário,Marca,Quantidade Vendida,Nome do Cliente,Cidade
2023-05-09,papel higiênico,HIGIENE,6.52,4.16,Tabajara,46,Sr. Valentim da Costa,Santo André
2024-03-20,limoneto,BEBIDAS,3.49,2.59,Chanax,43,Manuela Camargo,Belo Horizonte
2024-02-25,camisa,ROUPAS,2.73,1.75,Doofensmirts,41,Sr. Cauê Rezende,Campinas
2023-12-06,shampoo,HIGIENE,1.5,0.86,Brown,50,Paulo Ramos,Florianópolis
2023-06-21,lâmpada,UTILIDADES,4.22,2.98,Brown,7,Dra. Sara Pinto,São Paulo
2023-10-02,cesto de roupas,UTILIDADES,5.48,4.09,Chanax,49,Daniela Moraes,Rio de Janeiro
2023-10-01,cueca,ROUPAS,5.88,3.31,Linguini,26,Isabel Vasconcelos,Porto Alegre
2023-12-26,cerveja,BEBIDAS,5.22,3.5,Tabajara,45,Sra. Hellena Ribeiro,Fortaleza
2023-08-13,panela,UTILIDADES,2.28,1.55,Brown,16,Dr. Gael Marques,Fortaleza
2023-06-10,palito de dentes,UTILIDADES,6.86,4.84,Brown,48,Davi Lucca Cavalcante,São Paulo
2024-02-20,barra chocolate 250gr,ALIMENTOS,2.97,2.27,Tabajara,36,Lorena Azevedo,Santos
2023-11-01,suco,BEBIDAS,6.86,4.04,Doofensmirts,20,Ana Laura Pires,Curitiba
2023-09-04,shampoo,HIGIENE,1.11,0.62,Tuimara,24,Augusto Aragão,Rio de Janeiro
2024-03-06,escova de dentes,HIGIENE,5.93,4.62,Brown,9,Dr. Vinícius Santos,São Bernardo do Campo
2023-12-31,limoneto,BEBIDAS,5.15,4.09,Linguini,1,Maria Helena Porto,Recife
2024-02-04,camisa,ROUPAS,7.27,5.29,Chanax,13,Henrique Pires,Curitiba
2023-07-02,cerveja,BEBIDAS,9.26,6.88,Tabajara,22,Isis Azevedo,Rio de Janeiro
2023-06-20,boné,ROUPAS,4.23,2.91,Tuimara,12,Ana Luiza das Neves,Curitiba
